"adviser","topic","nr","ID","weight","scr_lang","wg_lang"
101,1,9,2000527,7,"EN",""
101,1,40,2015457,7,"VE",""
101,1,26,2004929,8,"EN","EN"
101,1,12,2001204,9,"EN","EN"
101,2,1,154379,6,"EN",""
101,2,22,2003734,6,"EN",""
101,2,28,2009603,6,"EN","EN"
101,2,29,2009735,6,"EN",""
101,2,14,2002268,9,"EN","EN"
102,3,2,1255574,4,"VN",""
102,3,15,2002559,6,"VN",""
102,3,8,2000435,7,"NL","NL"
102,3,18,2002950,7,"NL",""
102,3,20,2003419,9,"NL","NL"
102,3,44,12000167,9,"NL",""
102,4,38,2013982,2,"VN",""
102,4,41,2015984,5,"VN",""
102,4,13,2002094,8,"NL","NL"
103,5,19,2003132,9,"NL",""
103,6,3,1270230,9,"NL","NL"
103,6,16,2002568,9,"NL",""
103,6,21,2003715,9,"VN",""
103,6,30,2011891,9,"VN",""
103,6,31,2012759,9,"VN",""
103,6,33,2013063,9,"NL","NL"
103,6,43,2031867,9,"NL",""
104,7,11,2001105,7,"NL","NL"
104,7,27,2008878,7,"VN",""
104,7,42,2027800,7,"NL","NL"
104,7,4,1278484,8,"NL",""
104,7,25,2004509,8,"NL","NL"
104,7,32,2012967,8,"VN","NL"
104,7,35,2013587,8,"VN",""
104,7,39,2015272,9,"VE",""
104,8,36,2013651,9,"VN",""
105,9,10,2000815,6,"EN","EN"
105,9,6,1279954,7,"EN",""
105,9,23,2003951,7,"EN","EN"
105,9,24,2004318,7,"EN","EN"
105,9,34,2013126,7,"EN","EN"
105,9,5,1279806,8,"EN","EN"
105,9,17,2002685,8,"EN",""
105,9,7,1279982,9,"EN","EN"
105,9,37,2013829,9,"EN",""
