"nr","ID","adviser","topic","weight"
1,154379,101,2,6
2,1255574,102,3,4
3,1270230,103,6,9
4,1278484,104,7,8
5,1279806,105,9,8
6,1279954,105,9,7
7,1279982,105,9,9
8,2000435,102,3,7
9,2000527,101,1,7
10,2000815,105,9,6
11,2001105,104,7,7
12,2001204,101,1,9
13,2002094,102,4,8
14,2002268,101,2,9
15,2002559,102,3,6
16,2002568,103,6,9
17,2002685,105,9,8
18,2002950,102,3,7
19,2003132,103,5,9
20,2003419,102,3,9
21,2003715,103,6,9
22,2003734,101,2,6
23,2003951,105,9,7
24,2004318,105,9,7
25,2004509,104,7,8
26,2004929,101,1,8
27,2008878,104,7,7
28,2009603,101,2,6
29,2009735,101,2,6
30,2011891,103,6,9
31,2012759,103,6,9
32,2012967,104,7,8
33,2013063,103,6,9
34,2013126,105,9,7
35,2013587,104,7,8
36,2013651,104,8,9
37,2013829,105,9,9
38,2013982,102,4,2
39,2015272,104,7,9
40,2015457,101,1,7
41,2015984,102,4,5
42,2027800,104,7,7
43,2031867,103,6,9
44,12000167,102,3,9
